attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
0,100,200,4,5,591,17721,2638,6806,1535,115709,1579,78935
0,100,200,8,5,591,17721,2638,6806,399,15312,999,17320
0,100,200,12,5,591,17721,2638,6806,210,13002,946,17181
0,100,200,16,5,591,17721,2638,6806,252,15686,943,16936
1,100,200,4,2,35,2376,725,1756,39,4343,660,5039
1,100,200,8,2,35,2376,725,1756,290,11706,576,16479
1,100,200,12,2,35,2376,725,1756,212,21509,756,16836
1,100,200,16,2,35,2376,725,1756,176,16447,652,13397
2,100,200,4,5,155,17478,781,8338,810,177082,915,153471
2,100,200,8,5,155,17478,781,8338,155,13276,664,12930
2,100,200,12,5,155,17478,781,8338,199,15655,724,15039
2,100,200,16,5,155,17478,781,8338,101,14874,550,15303
3,100,200,4,-1,8,408,977,590,55,803,460,677
3,100,200,8,-1,8,408,977,590,20,836,648,884
3,100,200,12,-1,8,408,977,590,25,759,764,754
3,100,200,16,-1,8,408,977,590,34,747,599,703
4,100,200,4,5,100,15921,760,8542,977,164941,823,134573
4,100,200,8,5,100,15921,760,8542,265,13728,716,12741
4,100,200,12,5,100,15921,760,8542,94,15527,812,13696
4,100,200,16,5,100,15921,760,8542,142,14290,588,14022
5,100,200,4,-1,19,440,786,954,12,686,654,925
5,100,200,8,-1,19,440,786,954,19,785,718,868
5,100,200,12,-1,19,440,786,954,13,807,568,835
5,100,200,16,-1,19,440,786,954,13,645,880,767
6,100,200,4,-1,10,378,442,504,11,396,392,474
6,100,200,8,-1,10,378,442,504,39,795,558,725
6,100,200,12,-1,10,378,442,504,20,497,552,769
6,100,200,16,-1,10,378,442,504,19,985,732,967
7,100,200,4,-1,14,396,436,545,15,594,465,698
7,100,200,8,-1,14,396,436,545,17,680,542,808
7,100,200,12,-1,14,396,436,545,18,654,566,971
7,100,200,16,-1,14,396,436,545,18,761,515,812
8,100,200,4,-1,15,394,561,730,15,997,748,783
8,100,200,8,-1,15,394,561,730,17,1001,775,851
8,100,200,12,-1,15,394,561,730,16,947,755,803
8,100,200,16,-1,15,394,561,730,17,843,547,734
9,100,200,4,7,132,23354,612,12838,665,132142,1352,137479
9,100,200,8,7,132,23354,612,12838,93,14259,1238,12563
9,100,200,12,7,132,23354,612,12838,113,16485,851,17036
9,100,200,16,7,132,23354,612,12838,254,14270,806,15822
10,100,200,4,-1,37,731,615,1057,19,620,618,689
10,100,200,8,-1,37,731,615,1057,18,748,740,687
10,100,200,12,-1,37,731,615,1057,14,690,533,872
