attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
0,100,200,4,5,442,790038,24656,57977,4333,1448320,46152,151535
0,100,200,8,5,442,790038,24656,57977,279,42641,15349,136295
0,100,200,12,5,442,790038,24656,57977,258,53649,13805,135727
0,100,200,16,5,442,790038,24656,57977,252,52053,17086,134358
1,100,200,4,2,40,60109,143227,18758,38,32595,22439,130886
1,100,200,8,2,40,60109,143227,18758,198,45042,28705,37966
1,100,200,12,2,40,60109,143227,18758,189,51484,30744,44750
1,100,200,16,2,40,60109,143227,18758,143,26358,15986,34028
2,100,200,4,5,140,532528,25582,29628,1109,905101,23255,209319
2,100,200,8,5,140,532528,25582,29628,232,44623,21598,45081
2,100,200,12,5,140,532528,25582,29628,228,55070,21559,35091
2,100,200,16,5,140,532528,25582,29628,163,53138,22725,43780
3,100,200,4,-1,30,22019,22161,14735,28,20745,14913,15126
3,100,200,8,-1,30,22019,22161,14735,22,22359,23871,14559
3,100,200,12,-1,30,22019,22161,14735,93,22866,25499,14988
3,100,200,16,-1,30,22019,22161,14735,34,21820,23474,12955
4,100,200,4,5,65,560658,25628,32552,946,942334,28262,153412
4,100,200,8,5,65,560658,25628,32552,519,33263,24835,36119
4,100,200,12,5,65,560658,25628,32552,115,49963,28033,38513
4,100,200,16,5,65,560658,25628,32552,116,52412,26842,41076
5,100,200,4,-1,11,22354,12656,12595,14,21639,12533,12841
5,100,200,8,-1,11,22354,12656,12595,21,20888,14759,12853
5,100,200,12,-1,11,22354,12656,12595,18,21145,16837,13038
5,100,200,16,-1,11,22354,12656,12595,19,18714,16524,12973
6,100,200,4,-1,11,20863,12721,11289,44,18923,16525,10835
6,100,200,8,-1,11,20863,12721,11289,17,19072,16739,10614
6,100,200,12,-1,11,20863,12721,11289,21,21245,14813,10491
